co,pm10,o3,so2,pm25,no2,aqi,city_name,date,grade
1.9,257,53,114,150,86,199,济南,2013-12-02,中度污染
2.9,346,28,153,206,103,256,济南,2013-12-03,重度污染
1.6,187,45,106,107,72,140,济南,2013-12-04,轻度污染
1.5,254,50,114,171,71,221,济南,2013-12-05,重度污染
1.4,177,40,96,101,69,133,济南,2013-12-06,轻度污染
1.9,312,50,106,205,84,255,济南,2013-12-07,重度污染
2.2,388,28,71,279,84,329,济南,2013-12-08,严重污染
1.1,162,52,63,98,45,128,济南,2013-12-09,轻度污染
1.1,168,37,92,91,61,120,济南,2013-12-10,轻度污染
0.7,108,42,79,47,45,79,济南,2013-12-11,良
1.0,169,39,103,69,57,109,济南,2013-12-12,轻度污染
1.2,182,27,151,72,82,116,济南,2013-12-13,轻度污染
2.6,376,17,213,202,116,252,济南,2013-12-14,重度污染
3.4,496,15,208,277,131,395,济南,2013-12-15,严重污染
3.2,467,16,203,275,135,359,济南,2013-12-16,严重污染
2.2,352,15,166,203,101,253,济南,2013-12-17,重度污染
0.8,120,37,82,70,48,94,济南,2013-12-18,良
1.4,231,19,134,145,76,193,济南,2013-12-19,中度污染
1.6,237,30,114,148,87,198,济南,2013-12-20,中度污染
1.4,161,34,123,84,81,111,济南,2013-12-21,轻度污染
1.6,201,20,132,119,84,156,济南,2013-12-22,中度污染
1.7,325,22,140,196,99,246,济南,2013-12-23,重度污染
2.7,463,18,197,304,129,354,济南,2013-12-24,严重污染
2.2,487,28,177,323,120,384,济南,2013-12-25,严重污染
0.9,240,49,57,131,52,173,济南,2013-12-26,中度污染
1.0,136,31,107,70,64,94,济南,2013-12-27,良
1.3,188,30,127,100,74,131,济南,2013-12-28,轻度污染
0.9,153,41,106,73,61,102,济南,2013-12-29,轻度污染
1.2,191,31,137,83,77,120,济南,2013-12-30,轻度污染
1.0,237,41,128,74,69,144,济南,2013-12-31,轻度污染
1.3,208,31,138,71,73,129,济南,2014-01-01,轻度污染
2.1,238,28,148,99,83,144,济南,2014-01-02,轻度污染
2.3,312,17,174,159,93,209,济南,2014-01-03,重度污染
1.4,171,34,108,86,63,114,济南,2014-01-04,轻度污染
1.8,315,24,127,192,79,242,济南,2014-01-05,重度污染
4.1,589,13,161,361,116,489,济南,2014-01-06,严重污染
1.6,156,31,120,94,55,124,济南,2014-01-08,轻度污染
