co,pm10,grade,o3,date,so2,pm25,city_name,aqi,no2
37,73,23~291,56,2013-12,97,轻度污染,北京,100,1.73
51,94,26~402,65,2014-01,123,轻度污染,北京,125,1.9480000000000002
56,148,33~428,69,2014-02,155,中度污染,北京,184,2.1709999999999998
34,94,35~319,62,2014-03,138,轻度污染,北京,130,1.3899999999999999
16,89,65~279,57,2014-04,145,轻度污染,北京,127,0.92700000000000005
15,61,46~205,47,2014-05,118,轻度污染,北京,107,0.83900000000000008
6,54,50~179,39,2014-06,74,轻度污染,北京,116,0.79000000000000004
6,89,39~252,39,2014-07,100,轻度污染,北京,140,0.93900000000000006
5,62,46~200,43,2014-08,88,轻度污染,北京,120,0.83900000000000008
6,65,43~200,49,2014-09,88,良,北京,99,0.98299999999999998
9,118,28~381,70,2014-10,148,中度污染,北京,154,1.339
16,86,29~342,65,2014-11,127,轻度污染,北京,117,1.5669999999999999
28,58,21~267,53,2014-12,95,良,北京,86,1.5519999999999998
34,97,28~378,66,2015-01,120,轻度污染,北京,126,1.9099999999999999
26,93,36~334,51,2015-02,114,轻度污染,北京,127,1.4569999999999999
20,86,40~281,53,2015-03,146,轻度污染,北京,127,1.194
9,71,38~212,43,2015-04,118,轻度污染,北京,107,0.76000000000000001
8,55,42~203,37,2015-05,97,轻度污染,北京,105,0.745
6,60,35~231,35,2015-06,70,轻度污染,北京,111,1.3030000000000002
4,61,41~200,35,2015-07,74,轻度污染,北京,122,0.82299999999999995
3,45,37~202,31,2015-08,66,轻度污染,北京,104,0.79000000000000004
5,50,34~201,43,2015-09,59,良,北京,83,0.83700000000000008
6,74,27~344,55,2015-10,86,轻度污染,北京,106,0.95499999999999996
12,119,37~450,62,2015-11,85,中度污染,北京,153,1.9830000000000001
20,152,23~485,76,2015-12,172,中度污染,北京,187,2.8650000000000002
20,68,32~316,53,2016-01,88,良,北京,97,1.5840000000000001
15,44,34~238,35,2016-02,59,良,北京,71,0.90300000000000002
18,93,37~365,57,2016-03,136,轻度污染,北京,132,1.2290000000000001
10,69,43~209,44,2016-04,118,轻度污染,北京,106,0.80299999999999994
8,54,49~234,38,2016-05,90,轻度污染,北京,111,0.66500000000000004
5,59,50~189,35,2016-06,70,轻度污染,北京,126,0.76700000000000002
3,69,40~177,33,2016-07,74,轻度污染,北京,118,0.91599999999999993
3,47,34~179,35,2016-08,60,良,北京,94,0.83200000000000007
3,55,0~211,43,2016-09,73,良,北京,86,0.76000000000000001
4,85,29~292,56,2016-10,101,轻度污染,北京,116,1.155
11,100,28~315,68,2016-11,134,轻度污染,北京,133,1.7969999999999999
17,133,54~431,80,2016-12,159,中度污染,北京,168,2.5099999999999998
18,114,34~470,64,2017-01,146,轻度污染,北京,147,2.1579999999999999
18,70,37~295,53,2017-02,85,轻度污染,北京,101,1.2819999999999998
11,63,40~272,49,2017-03,89,良,北京,95,0.86099999999999999
7,53,41~165,48,2017-04,108,良,北京,89,0.66700000000000004
7,59,54~500,36,2017-05,137,轻度污染,北京,135,0.64200000000000002
6,42,51~199,38,2017-06,78,轻度污染,北京,123,0.72999999999999998
3,52,40~205,34,2017-07,77,轻度污染,北京,116,0.83900000000000008
3,38,35~155,35,2017-08,58,良,北京,84,0.75800000000000001
4,57,39~185,49,2017-09,98,良,北京,97,0.88
3,57,25~220,45,2017-10,67,良,北京,84,0.87400000000000011
5,45,30~202,49,2017-11,73,良,北京,75,0.85999999999999999
8,44,27~225,49,2017-12,66,良,北京,76,0.9840000000000001
8,34,29~175,42,2018-01,64,良,北京,66,0.83200000000000007
10,50,36~219,34,2018-02,74,良,北京,81,0.85699999999999998
10,90,46~500,58,2018-03,130,轻度污染,北京,135,1.087
13,199,226~272,75,2018-04,234,重度污染,北京,249,1.6499999999999999
48,125,24~468,71,2013-12,140,中度污染,上海,158,1.3730000000000002
28,77,30~238,54,2014-01,90,轻度污染,上海,103,0.997
17,52,27~240,36,2014-02,59,良,上海,74,0.79599999999999993
19,57,39~202,51,2014-03,84,良,上海,82,0.78700000000000003
15,53,50~187,47,2014-04,67,良,上海,77,0.72699999999999998
17,63,53~193,42,2014-05,99,良,上海,96,0.77700000000000002
12,44,37~182,35,2014-06,58,良,上海,72,0.71999999999999997
12,45,32~167,31,2014-07,63,良,上海,74,0.76500000000000001
13,38,30~150,34,2014-08,52,良,上海,67,0.76800000000000002
13,35,32~138,32,2014-09,52,良,上海,69,0.73999999999999999
16,40,52~137,42,2014-10,68,良,上海,77,0.78099999999999992
18,52,38~182,52,2014-11,71,良,上海,74,0.84299999999999997
36,72,39~190,68,2014-12,113,良,上海,99,1.0900000000000001
29,83,28~256,63,2015-01,108,轻度污染,上海,111,1.0900000000000001
20,64,34~222,46,2015-02,85,良,上海,90,0.94599999999999995
15,54,37~143,48,2015-03,66,良,上海,81,0.84499999999999997
16,56,44~166,53,2015-04,81,良,上海,88,0.79000000000000004
12,44,51~117,39,2015-05,63,良,上海,77,0.69700000000000006
11,43,43~188,35,2015-06,57,良,上海,80,0.69700000000000006
11,39,31~171,31,2015-07,57,良,上海,84,0.65799999999999992
13,40,28~181,28,2015-08,58,良,上海,86,0.73499999999999999
