co,pm10,grade,o3,date,so2,pm25,city_name,aqi,no2
147,165,66~469,86,2013-12,283,重度污染,石家庄,222,2.5129999999999999
174,212,85~489,86,2014-01,367,重度污染,石家庄,276,3.2999999999999998
107,189,43~499,59,2014-02,293,重度污染,石家庄,236,1.8919999999999999
86,138,73~398,70,2014-03,256,中度污染,石家庄,188,1.506
49,107,79~234,41,2014-04,208,中度污染,石家庄,152,0.93299999999999994
48,76,53~228,38,2014-05,187,轻度污染,石家庄,124,0.7390000000000001
42,85,63~227,40,2014-06,150,轻度污染,石家庄,127,0.877
30,93,50~260,37,2014-07,151,轻度污染,石家庄,132,0.91000000000000003
31,73,26~206,30,2014-08,124,轻度污染,石家庄,104,0.95200000000000007
22,68,34~166,25,2014-09,113,良,石家庄,96,0.79299999999999993
40,145,40~425,52,2014-10,236,中度污染,石家庄,186,1.4650000000000001
57,118,44~419,61,2014-11,191,中度污染,石家庄,153,1.7830000000000001
114,116,59~372,64,2014-12,203,中度污染,石家庄,156,2.2349999999999999
125,146,66~441,82,2015-01,224,中度污染,石家庄,185,2.952
76,111,52~272,44,2015-02,172,轻度污染,石家庄,148,1.6890000000000001
62,93,52~294,55,2015-03,184,轻度污染,石家庄,134,1.2390000000000001
40,77,50~198,48,2015-04,150,轻度污染,石家庄,112,0.90300000000000002
32,60,35~168,33,2015-05,108,良,石家庄,92,0.65200000000000002
27,63,44~165,27,2015-06,113,良,石家庄,99,0.66000000000000003
18,69,36~176,19,2015-07,113,良,石家庄,96,0.43200000000000005
15,63,39~168,29,2015-08,115,良,石家庄,95,0.58700000000000008
24,42,22~128,46,2015-09,86,良,石家庄,77,0.93700000000000006
35,49,43~192,65,2015-10,104,良,石家庄,88,1.0680000000000001
55,120,42~407,68,2015-11,167,中度污染,石家庄,154,2.1030000000000002
76,163,37~407,76,2015-12,237,重度污染,石家庄,204,3.2680000000000002
81,131,52~500,77,2016-01,194,中度污染,石家庄,168,2.5449999999999999
58,71,34~291,46,2016-02,111,轻度污染,石家庄,102,1.452
58,82,60~274,67,2016-03,173,轻度污染,石家庄,123,1.3319999999999999
32,60,45~195,46,2016-04,132,良,石家庄,98,0.95299999999999996
30,54,57~195,48,2016-05,107,良,石家庄,94,0.84499999999999997
19,46,40~141,36,2016-06,85,良,石家庄,92,0.85999999999999999
14,66,38~200,35,2016-07,104,轻度污染,石家庄,102,1.0029999999999999
13,25,37~83,35,2016-08,57,良,石家庄,58,0.94200000000000006
26,84,48~266,55,2016-09,146,轻度污染,石家庄,124,1.117
30,116,54~354,66,2016-10,189,中度污染,石家庄,151,1.3940000000000001
57,169,59~405,81,2016-11,279,重度污染,石家庄,215,2.4199999999999999
73,276,83~500,96,2016-12,382,严重污染,石家庄,301,3.9739999999999998
77,199,59~500,76,2017-01,300,重度污染,石家庄,255,3.4449999999999998
72,139,51~464,62,2017-02,203,中度污染,石家庄,173,2.157
37,79,54~230,47,2017-03,150,轻度污染,石家庄,114,1.2969999999999999
31,61,57~238,50,2017-04,141,轻度污染,石家庄,103,1.073
29,67,70~500,48,2017-05,185,轻度污染,石家庄,140,0.95200000000000007
25,54,67~201,44,2017-06,118,轻度污染,石家庄,129,0.92000000000000004
16,57,55~202,34,2017-07,106,轻度污染,石家庄,123,0.95799999999999996
16,50,39~176,41,2017-08,98,良,石家庄,97,0.89400000000000002
